Collection,7day Volume,Lowest Floor Price,Highest Collection Offer,Spread
Rectangles (for Herbert) by Jeff Davis,3.7,opensea.io : 0.12,opensea.io : 0.091,0.24
Rhythm by Jeff Davis,1.25,opensea.io : 1.75,opensea.io : 0.415,0.76
Rinascita by Stefano Contiero,0.98,opensea.io : 0.6,opensea.io : 0.33,0.45
Ringers by Dmitri Cherniak,59.9,looksrare.org : 65,opensea.io : 45,0.31
Screens by Thomas Lin Pedersen,11.85,opensea.io : 4.44,opensea.io : 3.69,0.17
Seadragons by Marcin Ignac,0.56,opensea.io : 0.09,opensea.io : 0.056,0.38
Singularity by Hideki Tsukamoto,17.0,opensea.io : 5,opensea.io : 4,0.2
Skulptuur by Piter Pasma,0.0,opensea.io : 1.44,opensea.io : 1.221,0.15
Space Birds by Mark Cotton,0.7,opensea.io : 1,opensea.io : 0.05,0.95
Space Debris [m'aider] by WhaleStreet x pxlq,0.0,looksrare.org : 0.27,opensea.io : 0.122,0.55
Spectron by Simon De Mai,0.0,opensea.io : 3.39,opensea.io : 0.825,0.76
Stipple Sunsets by Jake Rockland,1.64,opensea.io : 1.1,opensea.io : 0.333,0.7
Structures by Hevey,5.33,opensea.io : 0.25,opensea.io : 0.182,0.27
Subscapes by Matt DesLauriers,0.0,opensea.io : 10.45,opensea.io : 7.2,0.31
Swing by Eltono,0.39,opensea.io : 0.18,opensea.io : 0.05,0.72
Tentura by Stranger in the Q,0.42,opensea.io : 0.065,opensea.io : 0.05,0.23
The Liths of Sisyphus by nonfigurativ,0.14,opensea.io : 0.12,opensea.io : 0.019,0.84
Tide Predictor by LoVid,5.14,opensea.io : 0.5,opensea.io : 0.371,0.26
Transitions by Jason Ting x Matt Bilfield,1.73,opensea.io : 0.08,opensea.io : 0.052,0.35
Trossets by Anna Carreras,1.53,opensea.io : 0.77,opensea.io : 0.505,0.34
Túnel Dimensional by Autonomoses,0.56,opensea.io : 0.18,opensea.io : 0.077,0.57
Unigrids by Zeblocks,15.0,opensea.io : 12,opensea.io : 5.125,0.57
Utopia by ge1doot,0.0,opensea.io : 1.95,opensea.io : 0.487,0.75
Variant Plan by Jeff Davis,0.0,opensea.io : 2,opensea.io : 0.358,0.82
Vortex by Jen Stark,4.2,opensea.io : 1.435,opensea.io : 0.751,0.48
Your Story by encapsuled,10.46,opensea.io : 0.2,opensea.io : 0.131,0.35
autoRAD by sgt_slaughtermelon & Tartaria Archivist,0.28,opensea.io : 0.175,opensea.io : 0.07,0.6
celestial cyclones by hideo,1.18,looksrare.org : 0.333,opensea.io : 0.2,0.4
glitch crystal monsters by Alida Sun,4.55,opensea.io : 0.65,opensea.io : 0.442,0.32
mecha suits by hideo,0.0,opensea.io : 0.25,opensea.io : 0.11,0.56
phase by Loren Bednar,4.5,opensea.io : 1.9,opensea.io : 1.37,0.28
sail-o-bots by sturec,1.52,opensea.io : 1.6,opensea.io : 1.15,0.28
♫ ByteBeats by DADABOTS x KAI,0.0,opensea.io : 0.49,opensea.io : 0.157,0.68
