Collection,7day Volume,Lowest Floor Price,Highest Collection Offer,Spread
Singularity by Hideki Tsukamoto,17.0,opensea.io : 5.8,opensea.io : 4,0.31
Skulptuur by Piter Pasma,0.0,opensea.io : 1.44,opensea.io : 1.23,0.15
Space Birds by Mark Cotton,0.7,opensea.io : 1,opensea.io : 0.05,0.95
Space Debris [m'aider] by WhaleStreet x pxlq,0.0,looksrare.org : 0.27,opensea.io : 0.123,0.54
Spectron by Simon De Mai,0.0,opensea.io : 3.3,opensea.io : 0.951,0.71
Stipple Sunsets by Jake Rockland,1.64,opensea.io : 1.1,opensea.io : 0.333,0.7
Structures by Hevey,5.33,opensea.io : 0.25,opensea.io : 0.19,0.24
Subscapes by Matt DesLauriers,0.0,opensea.io : 10.45,opensea.io : 7.2,0.31
Swing by Eltono,0.39,opensea.io : 0.18,opensea.io : 0.05,0.72
Tentura by Stranger in the Q,0.42,opensea.io : 0.065,opensea.io : 0.05,0.23
The Liths of Sisyphus by nonfigurativ,0.14,opensea.io : 0.12,opensea.io : 0.032,0.74
The Opera by Luke Shannon,0.0,opensea.io : 1.99,opensea.io : 0.9,0.55
Tide Predictor by LoVid,5.14,opensea.io : 0.5,opensea.io : 0.407,0.19
Transitions by Jason Ting x Matt Bilfield,1.73,opensea.io : 0.08,opensea.io : 0.057,0.29
Trossets by Anna Carreras,1.53,opensea.io : 0.77,opensea.io : 0.505,0.34
Túnel Dimensional by Autonomoses,0.56,opensea.io : 0.18,opensea.io : 0.077,0.57
Unigrids by Zeblocks,15.0,opensea.io : 12,opensea.io : 6,0.5
Utopia by ge1doot,0.0,opensea.io : 1.95,opensea.io : 1.2,0.38
Variant Plan by Jeff Davis,0.0,opensea.io : 2,opensea.io : 0.4,0.8
Vortex by Jen Stark,4.2,opensea.io : 1.435,opensea.io : 0.81,0.44
We by Vamoss,0.39,opensea.io : 0.067,opensea.io : 0.047,0.3
Your Story by encapsuled,10.46,opensea.io : 0.288,opensea.io : 0.16,0.44
autoRAD by sgt_slaughtermelon & Tartaria Archivist,0.28,opensea.io : 0.175,opensea.io : 0.07,0.6
celestial cyclones by hideo,1.18,looksrare.org : 0.333,opensea.io : 0.2,0.4
glitch crystal monsters by Alida Sun,4.55,opensea.io : 0.65,opensea.io : 0.45,0.31
phase by Loren Bednar,4.5,opensea.io : 1.85,opensea.io : 1.101,0.4
sail-o-bots by sturec,1.52,opensea.io : 1.6,opensea.io : 1.15,0.28
♫ ByteBeats by DADABOTS x KAI,0.0,opensea.io : 0.49,opensea.io : 0.157,0.68
